iteration,train_mae,validation_mae,train_rmse,validation_rmse
1,0.2751950717438937,0.2635312665009004,0.35124677058252585,0.3241036386669657
2,0.27285939260606645,0.26342107921805863,0.347987142172198,0.3243752827814568
3,0.2702102682526355,0.2636939333542073,0.34507761208292265,0.32431758578069564
4,0.2682929213578141,0.2634777168002413,0.34229395877344426,0.3248810550803365
5,0.2661479644917417,0.2637531820845602,0.33984331922196376,0.325167532236983
6,0.26456232718198697,0.26389929177357035,0.3374679656211175,0.3261539002582711
7,0.2627182817421239,0.26421350873766736,0.3353854295293897,0.3267072420817855
8,0.2613792175412987,0.26438069862820757,0.3333249508866527,0.3279083410379529
9,0.2599292464710197,0.2649810409203428,0.3315126052412359,0.328894627113393
10,0.2588928786637619,0.2649928559612868,0.329795274500769,0.32982456675747
11,0.2578689747667443,0.2650547361826792,0.328242731437429,0.3306633905060631
12,0.2564900168789766,0.26477437302094253,0.32645664097667876,0.3308898769343532
13,0.25489217225597693,0.26447778784993586,0.3243251088607597,0.3311705777531231
14,0.25363901560343527,0.26373158236159894,0.3226286353740355,0.33134581477711106
