iteration,train_log_loss,validation_log_loss
1,1.3241246004447143,1.3199297551613063
2,1.2988321215853293,1.3168831228304343
3,1.2748106173200133,1.317030458282843
4,1.253518747407093,1.3168387672445732
5,1.2335130426602563,1.3186135936700676
6,1.215687713608708,1.317066528660341
7,1.1991397657015164,1.3211545329348582
8,1.1833735586076986,1.3182154595120208
9,1.1662768751654016,1.3210085094385278
10,1.1506676526360675,1.3225972031080535
11,1.136810422629189,1.3273904766219227
12,1.1228269686156584,1.327298480857129
13,1.1089043489459989,1.3311416559942726
