player_name,player_key,competition,season,role,bat_innings,impact_score,impact_percentile,impact_reliability,strike_rate,runs_per_innings,boundary_pct
V Suryavanshi,470f446b,IPL,2026,bat,13.0,1.4810781190212938,100.0,0.5652173913043478,236.32653061224488,44.53846153846154,42.04081632653061
V Kohli,ba607b88,IPL,2016,bat,16.0,1.2687175392814438,99.96607869742198,0.6153846153846154,152.03125,60.8125,19.0625
CH Gayle,db584dad,IPL,2011,bat,12.0,1.1889921888506243,99.93215739484395,0.5454545454545454,183.13253012048193,50.666666666666664,30.42168674698795
Shubman Gill,b4b99816,IPL,2023,bat,17.0,1.1644128554000384,99.89823609226595,0.6296296296296297,157.80141843971631,52.35294117647059,20.921985815602838
RR Pant,919a3be2,IPL,2018,bat,14.0,1.1470677185868172,99.86431478968792,0.5833333333333334,173.60406091370558,48.857142857142854,26.649746192893403
AD Russell,bbd41817,IPL,2019,bat,13.0,1.1394201646787794,99.8303934871099,0.5652173913043478,203.96825396825395,39.53846153846154,33.33333333333333
Abhishek Sharma,f29185a1,IPL,2026,bat,13.0,1.1213180040592368,99.79647218453188,0.5652173913043478,201.99203187250995,39.0,33.46613545816733
CH Gayle,db584dad,IPL,2012,bat,14.0,1.1167009595318795,99.76255088195387,0.5833333333333334,160.74561403508773,52.357142857142854,23.026315789473685
J Fraser-McGurk,9b6e1b3f,IPL,2024,bat,9.0,1.1072716475266926,99.72862957937585,0.47368421052631576,234.04255319148936,36.666666666666664,42.5531914893617
TM Head,12b610c2,IPL,2024,bat,15.0,1.1028323669179523,99.69470827679783,0.6,191.55405405405406,37.8,32.432432432432435
JC Buttler,99b75528,IPL,2022,bat,17.0,1.1020923087952594,99.6607869742198,0.6296296296296297,149.05008635578582,50.76470588235294,22.279792746113987
B Sai Sudharsan,d5130a30,IPL,2025,bat,15.0,1.0828020804061371,99.6268656716418,0.6,156.17283950617283,50.6,22.42798353909465
DA Warner,dcce6f09,IPL,2016,bat,17.0,1.0820284632126695,99.59294436906377,0.6296296296296297,151.42857142857142,49.88235294117647,21.25
N Pooran,3241e3fd,IPL,2025,bat,14.0,1.0798106794827174,99.55902306648575,0.5833333333333334,196.25468164794006,37.42857142857143,31.835205992509362
SA Yadav,271f83cd,IPL,2025,bat,16.0,1.0760357748170264,99.52510176390773,0.6153846153846154,167.91569086651054,44.8125,25.05854800936768
F du Plessis,3355b542,IPL,2023,bat,14.0,1.0471275280861203,99.49118046132972,0.5833333333333334,153.68421052631578,52.142857142857146,20.210526315789473
Abhishek Sharma,f29185a1,IPL,2024,bat,16.0,1.037371800896863,99.4572591587517,0.6153846153846154,204.2194092827004,30.25,32.91139240506329
YBK Jaiswal,6c19c6e5,IPL,2023,bat,14.0,1.036122537086518,99.42333785617367,0.5833333333333334,163.61256544502618,44.642857142857146,28.534031413612563
V Kohli,ba607b88,IPL,2024,bat,15.0,1.0323610437735535,99.38941655359565,0.6,154.6972860125261,49.4,20.876826722338205
MR Marsh,3d8feaf8,IPL,2025,bat,13.0,1.0280171392127027,99.35549525101763,0.5652173913043478,163.7075718015666,48.23076923076923,24.281984334203656
