player_name,player_key,competition,season,role,bowl_innings,impact_score,impact_percentile,impact_reliability,economy,bowling_sr,wickets_per_innings
Ashutosh Aman,4948a916,SMA,2021,bowl,9.0,0.7269323022187367,100.0,0.47368421052631576,4.611111111111111,10.285714285714286,2.3333333333333335
DL Chahar,23eeb873,SMA,2018,bowl,8.0,0.6011120060459555,99.95090819833088,0.4444444444444444,5.53072625698324,9.944444444444445,2.25
Avesh Khan,eef2536f,SMA,2021,bowl,10.0,0.5924584628552724,99.90181639666176,0.5,6.7631578947368425,9.91304347826087,2.3
PP Chawla,98ae73b1,SMA,2019,bowl,13.0,0.5804636248143163,99.85272459499264,0.5652173913043478,5.414141414141414,13.5,1.6923076923076923
S Gopal,7a8bd078,SMA,2019,bowl,19.0,0.5795176506801151,99.80363279332352,0.6551724137931034,6.318435754189944,11.548387096774194,1.631578947368421
JD Unadkat,1e66c162,SMA,2019,bowl,11.0,0.5730996165676522,99.7545409916544,0.5238095238095238,5.878048780487805,11.714285714285714,1.9090909090909092
R Sai Kishore,c7a995d3,SMA,2019,bowl,15.0,0.5656197228017953,99.70544918998527,0.6,4.715542521994134,16.238095238095237,1.4
DG Nalkande,cd8d2859,SMA,2021,bowl,12.0,0.5523717154764695,99.65635738831615,0.5454545454545454,6.549999999999999,10.434782608695652,1.9166666666666667
AS Rajpoot,db31895a,SMA,2019,bowl,14.0,0.5391594216779341,99.55817378497791,0.5833333333333334,6.593639575971732,11.32,1.7857142857142858
C Sakariya,2cdce1be,SMA,2021,bowl,11.0,0.5167743489006151,99.45999018163967,0.5238095238095238,6.113636363636364,13.2,1.8181818181818181
Cheepurapalli Stephen,48bf9d5c,SMA,2016,bowl,6.0,0.5140319612747707,99.41089837997055,0.375,5.804878048780488,8.785714285714286,2.3333333333333335
S Kaul,dcf81436,SMA,2021,bowl,9.0,0.5026753234697993,99.3127147766323,0.47368421052631576,6.874371859296483,10.473684210526315,2.111111111111111
Pankaj Jaswal,3bc10d5b,SMA,2021,bowl,10.0,0.5008495028239158,99.26362297496318,0.5,6.219895287958115,10.61111111111111,1.8
Satyajeet Bachhav,09a71776,SMA,2019,bowl,19.0,0.49858449073113575,99.21453117329406,0.6551724137931034,6.378378378378379,15.310344827586206,1.5263157894736843
B Kumar,2e81a32d,SMA,2023,bowl,5.0,0.491278260742769,99.16543937162494,0.3333333333333333,5.371428571428572,8.75,2.4
NB Singh,b822e99c,SMA,2016,bowl,5.0,0.48839089372265565,99.11634756995582,0.3333333333333333,5.3,10.0,2.4
Amit Ali,b54d8acf,SMA,2021,bowl,5.0,0.4844055483766863,99.0672557682867,0.3333333333333333,4.684210526315789,10.363636363636363,2.2
NA Rathva,8f607eea,SMA,2021,bowl,13.0,0.48372637735519575,99.01816396661758,0.5652173913043478,5.578947368421053,12.666666666666666,1.3846153846153846
DG Nalkande,cd8d2859,SMA,2019,bowl,8.0,0.48245876017442957,98.96907216494846,0.4444444444444444,7.301204819277109,9.222222222222221,2.25
PP Chawla,98ae73b1,SMA,2016,bowl,8.0,0.4808705832477295,98.91998036327934,0.4444444444444444,5.774193548387097,12.4,1.875
