iteration,train_log_loss,validation_log_loss
1,1.3149938444654765,1.3322912920973622
2,1.2843957496942175,1.3304845667848393
3,1.2562645556134495,1.3306874681468208
4,1.2311955377587562,1.3290243301804014
5,1.208441317109815,1.3315536793395113
6,1.1867647806859971,1.3322211282729435
7,1.1676118211133257,1.3348897960320034
8,1.1485888022022086,1.3353414025005885
9,1.1313980740546956,1.3369250645274555
10,1.1134850962715581,1.3405195796046356
11,1.0963355994404518,1.34315870761252
12,1.081297677722324,1.3450930956345344
13,1.0660674740768374,1.346289475950849
14,1.0518558115541867,1.3484349163155023
15,1.038196074603703,1.3504701232776626
16,1.0250888461542649,1.352945436309726
17,1.012534801963534,1.3520152129529317
18,1.0008445686829808,1.3521290372280603
19,0.9882598245534129,1.3562161991701995
20,0.9776919267381976,1.359015085467242
21,0.9672598787447982,1.3622615546938408
22,0.9579029972721663,1.3635495585930801
23,0.9483615752312996,1.366489044231038
24,0.9396533291245052,1.3687789231514882
25,0.9309961874581539,1.3752288060196125
26,0.9221748094462797,1.3807430490118964
27,0.9138945753550115,1.3834309028654992
28,0.9053276112132848,1.3844621602556726
29,0.8978339245651618,1.3885452102395062
